Command: ./simv +fsdbfile+test.fsdb +ntb_random_seed= -l run.log
Chronologic VCS simulator copyright 1991-2016
               11150: Master Write Addr=0x3801 Data=0x00
               11350: Master Read  Addr=0xad2c Data=0x00
               11550: Master Read  Addr=0xd67f Data=0x00
               11750: Master Write Addr=0x2c82 Data=0xaa
               11950: Master Write Addr=0xe695 Data=0x55
               12150: Master Read  Addr=0xb76f Data=0x00
               12350: Master Read  Addr=0x4c9c Data=0x00
               12550: Master Read  Addr=0x1462 Data=0x00
               12750: Master Write Addr=0x2cb7 Data=0x00
               12950: Master Write Addr=0x6d24 Data=0xff
               13150: Master Write Addr=0xe3f4 Data=0xff
               13350: Master Write Addr=0xed05 Data=0x55
$finish called from file "tests/test_03_cvr_driven.sv", line 130.
$finish at simulation time                13350
           V C S   S i m u l a t i o n   R e p o r t 
Time: 13350 ns
CPU Time:      0.310 seconds;       Data structure size:   0.3Mb
Sat Oct 28 23:16:56 2017
